bookId,bookCover,bookCategory,bookAbstract,bookTitle,bookAuthor,bookProfessor,bookPublished,bookStatus,bookStamp
,abcddama.jpg,mobile app,"as part of the rapid expansion, different games are made to entertain its users. dama is a famous traditional board game in the philippines. the game is played in a wooded board. today, dama has evolved from a mere filipino pastime to an educational tool in the philippines. now, as part of its evolution, dama can be played through our mobile phones. this mobile application is designed to bring entertainment and also to exercise the mental abilities of its users.",abcd dama,"belmonte jr. antonio g andducuein, cristel d.",prof jonathan velarde,4/1/2013,available,
,alarconcateringofficialwebsite.jpg,mobile app,"alarcon catering services is one of the existing firms at the street of valenzuela. they offer the best services once the customer is in, they have their extravagant party place venue and delicious food to offer. it is an option to other catering services along the street to meet the needs of the growing population of the said firm. since, at present;",alarcon catering official website  ,"bo, locelyn v. and cortez, mey - ann v.",prof jonathan velarde,3/1/2012,available,
,albethbakeshopaccountingsystem.jpg,mobile app,"the main function of the system is helping the accountant record and easy viewing of reliable data that can be used in financial statement like journal, ledger and trial balance",albeth bakeshop accounting system,"justianne, julias christian j. and perez, angela m",prof michael f. tan,3/1/2018,available,
,ardlimjaytradingmedicaldevelopmentprogram.jpg,mobile app,"the aim of this project is to assist the company in capturing the efforts on their respective working areas and to help the company to increase their productivity through automation. because in the current they only use manual type in product transaction through walk-in and suffer for missed records. the goal of ardlim-jay trading medical equipment is to manage the delivery in order to ensure that the customer gets the best value of services from warehouse throughout the lifecycle of the relationship with the customer. given the complexity of modern it service, it is common for individual services to be provided through a mix of internal and external suppliers.",ardlim jay trading medical development program ,"jenny g. rebona, reyheil mae s. pagaran and john martin s. san juan ",prof michael f. tan,3/1/2019,available,
,asac-incschoolportal.jpg,mobile app,"this study is focused on the student portal of academy of st. andrew caloocan inc. the system provides a user friendly and effective system resulting to a hassle-free enrollment in the school. a manual work are lengthy and its very time consuming for the entire school. so for that needs of a system is arising which gives the effective and efficient result within a few time. all people can view the website but not all are accessible. to fulfil this, use your personal computer or laptops and visit the said portal. for smart phones, just download the application, open it, sign-in or sign-up and choose transaction or services you need.",asac - inc school portal ,"cesista, francis treach g. and fajutag, joseph angelo d.s. ",prof jayson joble,3/1/2018,available,
,basiceducationallearningapp.jpg,mobile app,"basic educational learning app hardware can include mobile phones, tablets, the ipad, and, as well as devices such as the ipod touch that are able to run mobile applications. the use of mobile devices is a natural fit for distributed learning and field activities in that handheld technology can accompany the learner almost anywhere. ease of use offered by mobile devices supports lifelong learning, and because the devices themselves are integrated into everyday life, they facilitate authentic learning.",basic educational learning app ,"mouro, sheila p. and forte, john joven d. ",prof raul gutierrez,3/1/2016,available,
,bladeautocenterphwebportal.jpg,mobile app,the objective of creating this system is to help customers diminish their time going outside their home and buy some car or motor accessories then start purchasing online while in the comfort of their own home and wait for their orders to deliver. it can also help them to pick their own choices easily and price searching. they can easily know the products and services' information's they want and can also feel free to inquire about the products and services. this system is for the benefits of both customers and the company itself.,blade auto center ph web portal,"corpuz, john raven s. and villamor jeremina m",prof jayson joble,3/1/2018,available,
,caloocanpawnshopwithe-auction.jpg,mobile app,"this study focuses on how to help store owner of pawnshop to earn more profit using bidding section. face-to-face lectures online, as technology improves, this trend will likely continue and accelerate. this web site has an intuitive interface andunique visual objects that make it friendly for use. is an implementation of web auctions,like ebay, sothebys, and others with it's owndesign and bid politicscommon client operations were implemented in this application. in addition,there were used some original marketing solutions.",caloocan pawnshop with e-auction ,"alamani, jestoni and real, rizaldy ",prof vicente tabacolde,3/1/2019,available,
,3mchomesecuritysystem.jpg,mobile app,"all over the world, crime rates are climbing year upon year. Therefore, every year it is growing more and important that you take your home security seriously. It's definitely not enough just to trust the the reliability of local public safety agencies. The fact of the matter is that for the true peace of mind no matter where you live, you need to invest in a system.",3mc home security system,"cabigas myra, de rosales mary jane, joven mariz, tayao catherin",prof raul gutierrez,3/1/2018,available,
,abotkamaysakalusuganmultipurposecooperativewebsiteandrealrosecateringservicesandpartneedswebsite.jpg,website,in our modern technology now many companies are using different computerized system for them to attain the company's objective. this helps them to improve in their responsibility as a company to their clients in or more reliable and convenient manner.,abot kamay kalusugan multi purpose cooperative website and real rose catering services and party needs website,jacob christina and polborido leira benneth,dr teodoro macaraeg jr,3/1/2011,available,
,abelthelostsoul.jpg,pc game ,abel: the lost soul is a 2D desktop side-scrolling RPG-Action PC game. This game is about the boy named Abel who is in a comatose state after a plane crash.,abel the lost soul,"emil abrera, leomar fadrequela, elenol gones, shun- nichi lopez, francis dave romero, jan mae tomenio",prof genalyn villafuerte,3/1/2019,available,
,all4onehrportal.jpg,mobile app,"all4one hr portal is basically concerned with managing the administrator of human resource department in a company. a human resource management system, refers to the systems and processes at the intersection between human resource management and information technology.",all4one hr portal,"bueno gregg, dela cruz maykatie, espiritu karen, magno christian, patricio jr carlito",prof michael tan,3/1/2019,available,
,analogygameandroid.jpg,mobile app,"our life changed as it used to be back then. indeed, the fast growing technology that we're experiencing right now gives us people many opportunities and success in many ways and one of these mobile gaming.",analogy gamedroid,"mabunga marie janell, tamba josuah",prof raul gutierrez,3/1/2014,available,
,camarinprimehotelreservationsystem.jpg,mobile app,"the study aimed at developing an online hotel reservation to enable customers book for whatever they need from wherever location they are before lodging into the hotel. the system is to allow for easy access and retrieval of information and reporting. with such a system in place, camarin prime hotel would be more competitive in the area.",camarin prime hotel reservation system ,"    antonio, joemar, tabios jimmy, metrio vernand, marfil , jennica and esurena vhanz colia ",prof michael f. tan,9/1/2018,available,
,celinahomesiigateentrypass.jpg,mobile app,"celina homes il gate entry pass is a hardware, web and mobile project created in raspberry pi and php supported by laptop and android phones. it secure the privacy of the residents in terms of having a surprised visitor and also helps them in calling an emergency using a chi application that is only for residents of celina homes ii.",celina homes ii gate entry pass,"rayco mercy grace j., tamayo marvic tracy and tavera jeffrey d.r",prof raul gutierrez,3/1/2018,available,
,cieverosecollegeinformatione-learningsystem.jpg,mobile app,"this system features an administrator interface, an instructor and a student interface as well. the administrator interface will be for the maintenance, accounts, updates and notifications of the website; instructor interface, for the authorized instructors to create and update student records; and the student interface, for the students in terms of monitoring their class ratings",cieverose college information e-learning system,java joeph d. and raymundo mark john g. march 2018,prof michael f. tan,3/1/2018,available,
,cleopatra'streasure.jpg,mobile app,this paper presents in developing a game for both mobile and desktop platform for players enjoyment and educational purposes suited for all ages. in this study the developer discover the needs of educational materials especially for children who spend most time on playing desktop games and for those seniors of age who is not physically strong for their age. some games might be helpful for children and seniors but some of it may not. the developers of this study started to think a kind of solution that will actually be used for both entertainment and educational purposes.,cleopatra's treasure,"concordia elaiza joy c. and segismundo, lucky jay t.",prof genalyn g. villafuerte,3/1/2018,available,
,couragesofwar.jpg,mobile app,"in this study the developer discovers the needs of the players to practice their eye and hand coordination who played (fps) or first person shooting game. entertainment is one of the factor which may hook the adults who like to practice their tactics nowadays since most of the computer shops and companies are releasing fps games like the most popular fps game this present day counter strike: global offensive (csgo), crossfire and special force which may cause addiction to most of the players. the developers on this study started to think a kind of solution that will actually for both entertainment and educational purposes.",courages of war,"john mark dp malinao, ivy vivien g. rasca",prof genalyn g. villafuerte,3/1/2018,available,
,crimemappingnorthcaloocan.jpg,mobile app,"this study and focused on the security of each barangay. aiming to be a safe and pleasant barangay where and to deal with various crimes using technology which can be dealt with by the authorities. crime maps have only recently begun to emerge as a significant tool in crime and justice. until a decade ago, few criminal justice agencies had any capability for creating crime maps, and few investigators had the resources or patience to examine the spatial distribution of crime. today, however, crime mapping is experiencing what might be termed an explosion of interest among both scholars and practitioners. this introduction begins by examining some early examples of mapping of crime, focusing in particular on factors that inhibited the widespread integration of mapping into crime prevention research and practice in the past.",crime mapping (north caloocan),banlayos leonard a. cabug-os diana n. maniscan angelo t.,prof raul gutierrez,3/1/2018,available,
,csdprojectarsenal.jpg,mobile app,this study will help them to find an effective ways to organize well their specified activities problem such as time consuming for searching an information that may help them in the development of their system and thinking of a system to be developed takes a lot of time if you don't have much information in different kinds of system are the specific objectives of the study the researchers used the spiral model as their system development to cycle for the proper development of the system. the researchers also observed and choose appropriate proponents for this study,csd project arsenal,"pasco, jonathan and biag, michelle",prof raul gutieerrez,4/1/2010,available,
,d'builders.jpg,mobile app,the objective of making this website and application is to eliminate the use a lot of resources and provide a systematic way of choosing the best construction firm and to find more leads for the company.,d'builders,quano romar l.galendez lya elenza,prof michael f. tan,3/1/2018,available,
,d88realityonlinemonitoringsystem.jpg,mobile app,the study will help the researcher to identify the common problems being encountered by the company. the study aims to eliminate the problems encountered by the commuters and drivers in the current manual system. we've able to accomplish the system by implement the methodologies that can help in making solving the problems of our system accordingly. the researchers used the prototype method to identify all the basic needs and condition of the system. the study stands to benefit the company and the future researcher.,d88 reality online monitoring system,bueneflor bryan mattew and noville leah marie,prof genalyn g. villafuerte,3/1/2016,available,
,databasee-learningsystem.jpg,mobile app,"the system focuses on providing learning source. d-learn, database e-learning system is an e-learning website that contains different lessons and tutorials about relational database. the system intends to give offline tutorials, and a community of sharing ideas, putting all people who are interested in database into one place. in line with this, we, the researchers comprehend to develop a web-based system that would greatly help in terms of scarcity of learning materials. improving, and developing a new way of learning, making it convenient for everyone to learn relational database which is responsible of storing large set of data in computer.",database e-learning system,brion brely dane b. and patric,prof michael f. tan,3/1/2018,available,
,dictradroid.jpg,mobile app,"this system implements the translation of the dialects words to tagalog and english with meanings and vice versa. tagalog to local. this proposed system will help the users this system includes the trivia and facts about the eight major dialects. the facts and new ideas about the eight major languages and their locale in the philippine map. the application will serve as a source of information about translation through the use of android phones. to implement this system, jdk-7u5-windows-1586, android-sdk-windows and eclipse are being used.",dictradroid,baloma robert,prof jonathan velarde,3/1/2015,available,
,digimathjr.e-roomforteachingjrhighschoolmathematics.jpg,mobile app,"this study focuses on how to help students to learn and teachers through technology. face-to-face lectures online, as technology improves, this trend will
likely continue and accelerate. researchers must evaluate the impact of online courses compared to their traditional counterparts. this two-part study quantifies
the effect of two variables - social presence and learner control - on students recall, application and perceived learning levels in different lecture formats.","digimath jr. e-room for teaching jr highschoolmathematics (algebra, geometry and trigonemetry and statistics) in the philippines","cabacang jeric, bonoodin jomarl, gojo cruz rheynald and gonzalez romel",prof vicente tabocolde,3/1/2019,available,
,dinodynasty.jpg,mobile app,"the developers on this study started to think a kind of solution that will actually be used for both entertainment and educational purposes. the developers try to make a game which can contribute in some knowledgeable aspects for children developments, through the use of modern art genre that can catch not only children but also adults. the objective of making this game application is to create an entertaining 2d educational-defensive game in mobile and desktop platforms suited for all ages.",dino dynasty,"aguilar gabriel r. and rodriguez jr, isaac m.",prof genalyn villafuerte,3/1/2018,available,
,dreamlandandresortreservationsystem.jpg,mobile app,"dreamland resort and hotel (zabarte rd.) is located at camarin, caloocan city. dreamland resort and hotel offers you a relaxing and enjoyable moment of vacation. they accept all kinds of occasions like wedding, debut, birthday, baptismal, functions, seminars and other special occasions. they have 45 spacious rooms, equipped with bath tub, hot and cold shower, clean rest room, television, mini-refrigerator and air conditioned",dreamland and resort reservation system,bistol karen and doriago mischa blessie,prof jonathan velarde,3/1/2012,available,
,eventowebportalforeventsandplace.jpg,mobile app,this study aims to provide a web and mobile application for different events and places in the philippines which will help the clients to promote their business and gives easy access in the appointment and scheduling process as well as securely recording of data from customers. evento web portal for events and places in the philippines main purpose is to produce a platform / web-based portal system with mobile application to provide easy searching of different kinds of events and places business. it will also have an innovative direct mapping and routing for distance and direction guiding to help the user a fast and convenient way of finding their locations easier and more conveniently.,evento web portal for events and place,"baguio jemvie, ferolin claire, and magay kurt zeke",prof vicente tabocolde,3/1/2019,available,
,fitandrunapp.jpg,mobile app,"this application is consisted of three main features. a mobile application that access your location through gps and can track your pace. counts your hands motions and movements when you hold the phone and basic exercises. it also generate a screen shot of your location when you're done that can be share in your favorite social media sites like facebook, twitter and others.",fit and run app,"bartoldoc jeric, casimoro maria dessa d.",prof genalyn villafuerte,3/1/2015,available,
,furnituree-corner.jpg,mobile app,"furniture e-corner features the products of bayan furniture, lazaro furniture, rs foam furniture, jyrob's furniture and quiboy antique handicraft. all of the said furniture shops or brands doesn't have existing system. furniture e-corner will be their platform to promote and easily connect and sell their products o their present and future customers.",furniture e-corner,"bucog danilyn,magbou jamie lou, pulido alvin james and raco ronald jr.",prof vicente tabocolde,3/1/2019,available,
,g-postbuyandsellwebsite.jpg,mobile app,"the role of information technology goes beyond the limit and approach of every human kind. it can be defined as the acquisition, processing, storage and dissemination of vocal, pictorial, textual and numerical information by a microelectronics-based combination of computing and telecommunications. in addition to it, it has been said as the area of managing technology and spans wide variety of areas that include but are not limited to things such as processes, computer software, information systems, computer hardware, programming languages, and data constructs. in short, anything that renders data, information or perceived knowledge in any visual format whatsoever, via any multimedia distribution mechanism, is considered part of the domain space known as information technology (it).",g-post buy and sell website,las pinas geibel f.,prof jonathan velarde,3/26/2012,available,
,genesisplumbingandprotectioninc.inventorymanagementsystemandadvertisingsystem.jpg,mobile app,"an automated inventory helps to minimize the risk of errors. it also helps to store details of the inventory, update the inventory based on the sales details, produce receipts for both sales and stocks. the users of this system can be two or more but mostly admin is high level authority to the website which admin monitor happening in the system, admin also has the privileges to add more stocks to the warehouse, changing the price of an items, etc.",genesis plumbing and protection inc. inventory management system and advertising system,"jerico dela cruz, erwin bantista and segundo cruz jr.",prof michael tan,3/1/2019,available,
,hgtautopartstradingmobileanddesktopapplication.jpg,mobile app,"the evolution of technology is growing very fast. from simple calculator to now what we called computers. nowadays, computer technology leads the world because of its being flexible to do different tasks, it has a very high demand for the use of this kind of technology, especially those large and high profile company in different country today, because of rapid grow of technology, even the simple process of selling and inventorying products of some company demands for the use of this computerized system for them to make much easier and to lessen the not only the process of selling and inventorying products but also the workload of employees which is very helpful to large company",hgt auto parts trading mobile and desktop application,gonzales ricardo and ibarra gil martin,prof jonathan velarde,3/1/2013,available,
,hintmaryfiedeventservice.jpg,mobile app,"this study's focus is on the online event services system in an online event services system software project that serves the functionality of an event manager. the system only allows registered users to login and new users are allowed to register on the application. this is proposed to be a web application. the project provides most of the basic functionality required for an event. it allows the users to select form a list of event types. once a user enters an event type e-8. (marriage, birthday party) the system then allows the user to select the date and time of an event, place the event equipment's. all these data is logged in the database and must use a voucher as payment method. this data is then sent to the requirements and his contact data stored in the database.",hint maryfied event service,jordan jayjay and labos christel,prof michael tan,3/1/2018,available,
,i.tjobhubi.tjobseekersinthephilippinesassessmentandscreencapturingsimulationwithlivechatandvoicesearch.jpg,mobile app,the main purpose of it jobhub for it jobseekers in the philippines with assessment and screen capturing simulation with live chat and voice search is to modernize the process of finding and applying for a job by means of interacting online that the user can easily use. this system lessens the hassle that they faced in the old process of applying.,i.t jobhub i.t jobseekers in the philippines assessment and screen capturing simulation with live chat and voice search,"cerendo bernard, oris enrico, revero jr. herbert and jodaje jayveg",prof vincent tabacolde,3/1/2019,available,
,ialertemergencyresponsefornaturalandman-madedisastersinformatiomanagementwebportalandandroidappwithgpslocationtrackerandgpsintegratedmap.jpg,mobile app,an integrated system as emergency response for natural and man-made disaster information management that allow the local government units(LGU's) such as barangay units and the responders to track the current location of their rescuees to be able to provide an assistance and physical help to the survivors of disaster. This system will name iAlert that provides graphical and real-time information to the responders of barangay units.,ialert emergency response for natural and man-made disasters information management web portal and android app with gps location tracker and gps integrated map,"basa maria nicole, boseo john paul, fortuna edwin, jabonete joey",prof vicente tabocolde,3/1/2019,available,
,informationdilimanmarketingdepartmentinformationsystem.jpg,mobile app,"informatics philippines is part of a network of training und education companies that operates in over 50 countries spanning asia, europe, africa and south america informatics group is listed on the main board of the stock exchange of singapore.",information diliman marketing department information system,clores king john and velasquez paolo,prof raul gutierrez,4/1/2016,available,
,jenilloserviceandconstructionandconsultancyofficial website.jpg,mobile app,"computer is one of the most productive tools of technology. it makes our work easier because of its potential capabilities. furthermore and more business transaction are running with computerize system. and with those system it lessens the burden of each business to help their works and with that, more numbers of client will be entertained.",jenillo service and construction and consultancy official website,ayog alice and bolor ma. lourdes,prof jonathan velarde,4/1/2013,available,
,jmlgadgetsandcomputeraccesorieswbportalusingqrcode.jpg,mobile app,"information technology is fast growing, and every office is now dependent on a multitasking level of processing. seeing these possible on how information system helps reduce task and speed up the different operational processes, the researches have chosen jenrillo services construction and consultancy) is to increase the efficiency of its staff their work and maximize the time in the performance of their work. computer is one of the most productive tools of technology. it makes our work easier because of its potential capabilities.",jml gadgets and computer accesoriesweb portal using qr code,"buya leonard, fernandez jerome and singson mary anne",prof michel tan,3/1/2019,available,
,kiddiesworldoffairytales.jpg,mobile app,one of our solutions in this problem and taking for the advantage for these children is kiddies world of fairytales or kwof for short would belong in this kind of category. kiddies world of fairytales is a simple mobile application that created to be benefitted mostly for the children also considered students in grade schools and high school to improve their reading skills and imagination skills and also,kiddies world of fairytales,nontes nadonna mae and meyor marvin rod,prof edwin macaspag,3/1/2015,available,
,kingoftanks.jpg,mobile app,we researchers used the descriptive method as one of the basis in coming up with sufficient information with regards to android game development. we used many platforms and acquire new language to develop the system. search and earn to provide the needs to the study. succeeding results is that we finish it with all the requirements need for the problem. the feedback was awesome and we conclude that having a nice 3d graphics will attract more users to play the game. our study stands to benefit the android users especially those users whose engaged in android games.,king of tanks,"bermillo aljon, de lara ramable, and directo cedrick",prof genalyn villafuerte,3/1/2016,available,
,madmarksandcreameryandgoodseatportal.jpg,mobile app,"this study focuses on the online table reservation, sales and inventory and supply chain management of mad marks creamery & good eats restaurant. this system provides a user friendly and effective system resulting to a systematic way in determining conflicts that are encountered during table reservation, sales and inventory and supply chain management. some of the conflict are the time consuming of the manual forecasting, lack of mandatory tracking fill rate and inventory turns, difficulty on taking customer information the objective of making this website and application is to eliminate the use of manual forecasting, lack of mandatory tracking fill rate and inventory turns, to provide a much operative way of table reservation, managing sales and inventory and supply chain. with the help of this web portal and application, conflicts can now easily identify and resolved.",madmarks and creamery and goods eat portal,"ladea, kemberly, tan mary oy, valeza kim elise",prof jayson s. joble,3/1/2018,available,
